id,label,reason,retried
T001,externally-directed,"The rule classifies textbooks (national vs. reviewed) for elementary/middle/high schools, which sets obligations/standards for schools, publishers, and related external actors regarding which digital textbooks apply.",False
T002,internal,"The rule organizes an internal temporary task force within the Ministry of Education, governing composition, duties, staffing, inter-agency cooperation, allowances and operation—it manages administration activities and personnel deployment rather than imposing obligations, standards, sanctions, or entitlements on external private actors.",False
T003,externally-directed,고시 본문이 특정 출연기관(재단법인 전남교육 꿈실현재단)을 변경지정하고 있어 해당 민간 법인(출연기관)에게 직접적 효력과 의무를 부과하므로 외부대상 지시로 분류됩니다.,False
T004,externally-directed,텍스트는 교육급여의 선정기준 및 최저보장수준(수급 자격 및 급여 금액)을 규정하여 가구·학생 등 행정기관 외의 개인·가구의 권리·의무(수급대상·지급액)에 직접 영향을 주므로 외부지향적 규칙임.,False
T005,externally-directed,고시는 유아교육에 대해 국가 및 지방자치단체가 부담하는 비용의 기준(지원기준 연령 및 지원액)을 정하고 있어 행정기관 외의 유치원·보호자 등 외부 행위자에게 재정적 권리·혜택 및 적용 기준을 규정하므로 외부 지향적이다.,False
T008,externally-directed,"본문은 3~5세 누리과정의 운영·편성, 교사 교수학습·평가 등 유아와 보육·교육기관, 교사 등 행정 외부의 학교·교육기관 및 개인(교사·유아 등)에 적용되는 기준과 요구를 직접 규정하고 있으므로 외부 대상 지시문으로 분류됩니다.",False
T009,externally-directed,"규칙 본문은 교과용도서의 재료비·인쇄·제조비 산정 방식, 손지율, 전자조판·인쇄·제책료 등 구체적인 계산기준을 제시하여 출판사·발행사 등 행정기관 외부의 사업자들에게 비용·정가 산정 의무와 적용기준을 직접 규정하고 있으므로 외부 대상에 명시적으로 적용됩니다.",False
T010,externally-directed,"The rule sets substantive requirements and entitlements that apply to teachers and external training institutions (e.g., which institutions may offer credit-bearing courses, how teacher training hours and degrees/certificates are converted to credits, and documentation and promotion-list crediting procedures), thus binding actors outside the issuing administration.",False
T011,externally-directed,훈령 본문은 교육공무원(개인) 및 지방자치단체 예산으로 보수가 지급되는 직원 등의 명예퇴직수당 지급대상·신청절차·지급방법 등을 구체적으로 규정하여 행정기관 외의 개인(공무원 개개인)에게 권리·의무를 부과하므로 외부지향적이다.,False
T013,internal,"본 규정의 적용범위와 모든 조문은 교육부, 시·도교육청 및 그 소속기관·하급교육행정기관 등 교육행정기관의 공문서 관리 및 내부 절차에 관한 것으로, 외부(민간 학교 운영자, 학부모, 일반 개인 등)에 대한 직접적인 의무·권리·제재를 부과하지 않음.",False
T014,externally-directed,규정은 기업·공공연구기관·대학 등 외부 기관을 인증대상으로 규정하고 인증요건·심사절차·인증·인증마크 공개 등 외부 행위를 직접 규율하므로 외부주체를 대상으로 한다.,False
T015,internal,"규정은 교육데이터전략위원회의 설치·운영, 위원 구성·임기·회의·실무위원회 등 행정 내부의 조직·운영 절차를 규정하고 있어 주로 행정기관(교육부) 내부 업무를 조직하는 내용이며, 외부 민간 주체에게 직접적인 의무·권리·제재를 부과하지 않음.",False
T016,externally-directed,"규정은 자문단 구성(단원 위촉 대상, 연령요건 등), 해촉 사유, 수당지급 등 외부의 개인(청년 단원)에게 직접적인 권리·의무·절차를 규정하므로 외부지향적이다.",False
