id,label,reason,retried
T001,externally-directed,"This notice designates which digital textbooks are state-authored versus government-authorized (검정), a classification that directly governs publishers seeking authorization and schools selecting textbooks, both external actors.",False
T002,internal,"이 훈령은 교육부 내 기획단의 설치, 구성, 파견, 협조요청 등 행정조직 내부의 업무수행 절차만을 규정하고 있으며 민간 행위자나 개인의 법적 지위(권리·의무)에 대한 규정은 없다.",False
T003,externally-directed,"이 고시는 교육비특별회계로 설립한 출자·출연 기관(재단법인)의 명칭 변경을 지정·공고하는 것으로, 행정조직 외부의 법인을 대상으로 하는 규율이다.",False
T004,externally-directed,"This notice sets eligibility criteria and benefit levels for education aid recipients (students/households) who are external to the administration, directly conditioning entitlements for private individuals.",False
T005,externally-directed,"이 고시는 유아교육(누리과정) 지원 대상 유아 및 학부모에게 지급되는 국가·지자체 부담 비용의 지원 기준 연령과 금액을 정하는 것으로, 외부 수혜자에 대한 급부 조건을 설정하는 대외적 규정이다.",False
T008,externally-directed,이 고시는 유치원·어린이집 등 각 기관의 교육과정 편성·운영 기준과 교사의 교수·학습 방법을 직접 규정하여 행정조직 외부의 사립·공립 교육기관과 교사를 구속하는 내용이다.,False
T009,externally-directed,"This rule sets pricing standards and calculation criteria that directly determine the authorized price of textbooks published and sold by private textbook publishers, thereby binding external actors' pecuniary entitlements/obligations.",True
T010,externally-directed,"이 예규는 개별 교원의 연수학점 인정, 학위·자격 취득의 학점화, 승진후보자명부 작성 시 반영 등 교원 개인의 법적 지위(경력·승진 관련 실적)에 직접 영향을 미치는 사항을 규정하고 있다.",False
T011,externally-directed,"This rule sets conditions, procedures, and criteria for individual education officials to apply for and receive honorary retirement allowance, directly governing their personal legal (pay) entitlement.",False
T013,internal,"이 규정은 교육부·시도교육청 등 교육행정기관 내부의 공문서 관리, 규제지침 게시 및 사후관리 절차를 규율할 뿐, 사립학교·학생·개별 교원 등 외부 주체의 권리·의무를 직접 설정하지 않는다.",False
T014,externally-directed,이 규정은 기업·공공연구기관·대학 등 외부 기관을 대상으로 교육기부 우수기관 인증 기준과 심사절차를 설정하여 인증을 부여하는 내용을 담고 있어 외부 행위자에 대한 요건과 지위를 규율한다.,False
T015,internal,"이 규정은 교육데이터전략위원회의 설치, 구성, 운영절차 등 행정 내부 자문기구 운영에 관한 사항만을 규정하며, 민간 행위자나 개인의 법적 지위에 대한 요건·기준·제재·수혜를 정하지 않는다.",False
T016,externally-directed,"This rule sets appointment eligibility, term, dismissal grounds, confidentiality obligations, and allowance entitlements for individual private citizens (youth advisory members) recruited from outside the administration, not merely internal organisation of the ministry's own organs.",True
T017,undecidable,,True
T018,undecidable,,True
T019,undecidable,,True
T021,externally-directed,"The form lets individual data subjects (정보주체), who are outside the administration, request access, correction, deletion, or processing suspension of their personal information, directly conferring a procedural right on external persons.",False
T022,internal,"이 훈령은 교육부 계약심의위원회의 구성·운영 절차만을 규정하며, 위원 해촉 사유 등도 위원회 조직 내부 운영에 관한 것으로 외부 위원(외부 전문가)의 위촉·해촉이 있으나 이는 행정조직 내부 자문기구 구성에 관한 것이지 외부 민간 주체에 대한 의무·기준·제재·수혜를 설정하지 않는다.",False
T023,externally-directed,"이 규정은 교육부와 계약관계를 맺는 외부 변호사(고문변호사·소송대리인)의 위촉·해촉 요건, 이해충돌 회피의무, 보수 지급 등 행정조직 외부의 개인 법률지위를 규율하고 있다.",False
T024,internal,"이 규정은 교육부 및 소속·위탁운영기관 내부의 공공데이터 품질관리 체계, 책임자 지정, 표준·구조 관리 절차 등 행정조직 내부 업무만을 규율하며 민간이나 개인의 법적 지위에 대한 규정이 없다.",False
T025,externally-directed,"This rule includes a copyright assignment contract binding external authors/contractors (transferring their copyright to the Ministry, warranties, indemnification) and a warning letter format addressed to outside individuals or businesses, directly setting obligations for actors outside the administration.",False
T026,internal,이 규정은 소속 공무원의 국외출장 심사·허가 절차와 출장경비 처리 등 행정조직 내부의 업무처리 기준만을 정하고 있어 외부 민간 주체나 개인의 법적 지위(신분·보수 등)를 규율하지 않는다.,False
T027,undecidable,,True
T028,externally-directed,"This code of conduct sets disciplinary standards, gift/reward limits, and personal obligations for individual public servants in their own legal status, which per rule 3 counts as externally-directed.",False
T029,externally-directed,"The forms allow any external person to file a public interest report to the Ministry, establishing a procedure directed at individuals outside the administration, not merely internal organisation.",False
T030,externally-directed,"This disciplinary standard table sets sanction criteria applicable to individual public officials' legal position (demotion, suspension, reprimand for personal violations), which under decision rule 3 counts as externally-directed even though the officials work within the administration.",False
T031,internal,"이 지침은 참여부처, 관계기관, 협의체 구성 및 운영 등 행정조직 내부의 사업 추진체계와 절차만을 규정하고 있으며, 민간 행위자나 개인의 법적 지위에 대한 요건·기준·제재·수혜 조건을 정하고 있지 않다.",False
T032,externally-directed,"별표 1은 보조사업비 카드를 사용하는 보조사업자(외부 수령자)가 이용할 수 없는 업종을 직접 제한하는 규정으로, 행정조직 외부의 수급자에게 의무를 부과한다.",True
T033,externally-directed,"이 규정은 국민(외부인)이 제출한 제안의 접수·심사·시상 절차와 부상 지급 기준, 그리고 공무원 개인에 대한 특별승급 등 인사상 특전을 규정하고 있어 행정조직 외부의 국민과 공무원 개인의 법적 지위에 영향을 미치므로 외부지향적이다.",False
T034,internal,"이 지침은 교육부 본부·소속기관의 국제개발협력 정책·사업에 대한 자체평가 절차, 평가위원회 구성·운영, 보고서 작성·심의·환류 등 행정조직 내부의 평가업무 처리 절차만을 규정하며, 민간 주체나 개인의 권리·의무를 설정하지 않는다.",False
T035,internal,"이 훈령은 교육부 내부 위원회의 설치, 구성, 운영절차만을 규정하며 민간위원 위촉 등도 위원회 조직 구성에 관한 사항일 뿐 외부 민간 주체나 개인의 권리·의무를 직접 규율하지 않는다.",False
T036,internal,"이 규정은 교육부 및 관할 공공기관 내부의 기록관 설치·운영, 기록물 등록·이관·보존·평가·폐기, 자료 열람·대출 절차 등 행정조직 내부 업무처리를 정한 것으로, 외부 민간 주체나 개인의 법적 지위를 규율하는 조항이 없다.",False
T037,undecidable,,True
T038,undecidable,,True
T039,externally-directed,"이 개정예규는 학교법인정관(준칙), 청소용역적격심사기준, 사단법인정관예문 등 외부 법인·사인을 대상으로 하는 여러 규정의 명칭 문구를 개정하는 조항을 포함하고 있어 외부 행위자에 대한 규율을 담고 있다.",False
T040,undecidable,,True
T041,internal,"본 훈령은 소속 직원의 외국인 접촉 신고·보고 절차와 서식을 규정하는 것으로, 외부 민간 행위자가 아닌 행정조직 내부 공무원의 업무 처리 절차만을 규율한다.",False
T042,internal,"이 훈령은 교육부 내부의 법제업무 처리절차(법령안 입안, 부서 간 협의, 결재, 입법예고 등)를 규율할 뿐 외부 민간 행위자나 개인의 법적 지위에 대한 요건·기준·제재·수혜를 규정하지 않는다.",False
T043,internal,"이 규정은 교육부 내부 보안심사위원회 구성 및 소속 직원의 비밀·암호자재 취급 인가 절차·서식을 정한 것으로, 외부 민간 행위자나 개인의 법적 지위(신분·보수·의무)가 아닌 행정조직 내부 업무처리 절차만을 규율한다.",False
T044,undecidable,,True
T045,internal,"이 지침은 교육부 및 소속기관 공무원의 부패행위 신고 접수·처리·포상에 관한 내부 절차와 신고 공무원 개인에 대한 포상금·보상금 지급기준을 규정할 뿐, 외부 민간 주체나 개인의 법적 지위를 규율하는 조항이 없다.",False
T046,undecidable,,True
T047,externally-directed,"이 규정은 대학, 기업, 연구소 등 외부 기관인 주관기관·참여기관의 신청자격, 선정절차, 협약체결, 사업비 사용 및 제재 등 법적 지위와 의무를 직접 규율하고 있어 행정조직 외부의 민간 주체를 대상으로 한다.",False
T048,externally-directed,"이 지침은 교육부 소속 개별 공무원(직원)의 신분상 불이익, 징계, 인사조치 등 개인의 법적 지위에 관한 사항과 고충 신청 개인의 권리·절차를 규정하므로 외부(개인) 지향적이다.",False
T049,internal,"이 훈령은 교육부 소관 국유재산에 대한 재산관리관 지정, 위임사무 범위, 기관간 이관·협의·분쟁조정 절차 등 행정조직 내부의 재산관리 사무처리 방법만을 규정할 뿐, 사인이나 개별 공무원의 법적 지위를 규율하는 조항은 없다.",False
T050,externally-directed,"This rule sets evaluation standards, reporting obligations, and personal sanctions (dismissal recommendation, dismissal, revocation of appointment approval) directed at the heads and executives of 'other public institutions' — external organizations distinct from the Ministry itself — as well as their individual legal positions.",True
T051,internal,"이 지침은 교육부 소관 주요정보통신기반시설의 침해사고 대응·예방·관리 절차를 행정조직 내부적으로 규율하는 것으로, 외부 민간 주체나 개인의 법적 지위를 규율하지 않는다.",False
T053,internal,이 규정은 교육부 소관 국고 회계사무를 처리하는 회계직공무원의 관직지정과 임면권 위임 등 행정조직 내부의 업무분장·직위지정 사항만을 정하고 있어 외부 민간 행위자나 개인의 법적 지위(신분·보수 등)에 대한 규율이 없다.,False
T054,externally-directed,"이 규정은 교육부장관이 외부 전문가를 시민감사관으로 위촉·해촉하는 자격요건, 신분, 서약 등을 정하고 있어 행정조직 외부의 개인(민간 전문가)의 법적 지위를 규율한다.",False
T055,internal,"이 훈령은 교육부 내 심의위원회의 설치, 구성, 운영절차만을 규정하며, 민간투자사업자 등 외부 주체에 대한 직접적인 요건·기준·제재나 개인의 법적 지위(수당은 위원 활동비에 불과)를 규율하지 않는다.",False
T056,internal,"이 규정은 교육부 내부 예산집행심의회의 기능·구성·운영 절차만을 정하고 있으며, 외부위원 위촉이나 수당 지급도 심의회 운영을 위한 내부 조직 구성의 일환일 뿐 민간 등 외부 주체의 권리·의무를 규율하지 않는다.",False
T057,externally-directed,"This rule sets recruitment, working conditions, and disciplinary standards (dismissal, suspension, pay cuts) for individual 공무직 employees, governing their personal legal position rather than internal organ-to-organ administration.",False
T058,externally-directed,"This rule imposes financial guarantee obligations, liability caps, and reimbursement duties on individual accounting officials (public servants) in their personal legal position, and also extends by Article 3(2) to national schools, going beyond purely internal administrative organisation.",False
T060,externally-directed,"이 규정은 교육부 소속 공무원 개인의 경력환산·인사관리 기준을 정하는 것으로, 공무원 개인의 법적 지위(경력 인정 등)에 관한 사항을 규율하므로 개인을 대상으로 한 외부지향적 규정이다.",False
T061,internal,"This directive only governs internal pre-audit procedures, forms, and reporting between the Ministry of Education's own departments and affiliated agencies, without imposing requirements on private actors or individuals' personal legal status.",False
T062,internal,"이 훈령은 교육부 자체평가위원회의 구성·운영·회의절차 등 행정조직 내부 업무처리만을 규정하고, 민간위원 위촉·수당 지급 등도 위원회 운영을 위한 내부적 사항으로 외부 행위자에 대한 의무·기준·제재를 설정하지 않는다.",False
T063,externally-directed,"This rule governs hiring, working conditions, retirement, and performance evaluation of non-civil-servant workers at national schools, directly regulating individuals' legal position outside the administrative organization itself.",False
T064,externally-directed,이 지침은 개별 공무원(적극행정 공무원)이 징계절차 소명이나 소송에서 변호사 보수·선임 등을 지원받기 위한 신청 요건과 절차를 정하고 있어 공무원 개인의 법적 지위(신분상 이익)에 관한 사항을 규율하므로 대외적 성격을 가진다.,False
T066,undecidable,,True
