id,label,reason,retried
T001,externally-directed,이 고시는 디지털교과서의 국정·검정 구분을 정하여 교과서를 편찬·검정 신청하는 발행사 등 외부 민간 주체에게 적용되는 기준을 설정하므로 외부 지향적이다.,False
T002,internal,"이 훈령은 교육부 내 기획단의 설치·구성·운영, 파견·협조요청, 수당 지급 등 행정조직 내부 사무처리 절차만을 규정하며, 외부 민간 주체나 개인의 법적 지위·의무·제재를 설정하는 조항이 없다.",False
T003,externally-directed,"이 고시는 교육비특별회계로 설립한 출연기관(재단법인)의 명칭 변경 및 지정을 다루고 있어, 행정조직 외부의 법인격을 가진 기관을 대상으로 한 지정행위이므로 외부지향적이다.",False
T004,externally-directed,"This notice sets eligibility criteria and benefit levels for educational welfare payments to external recipients (households/students), directly affecting their entitlements.",False
T005,externally-directed,이 고시는 유아교육(누리과정) 대상 유아에 대한 국가·지자체의 비용 부담 기준연령과 지원금액을 정하여 학부모 등 외부 수혜자에 대한 지원(급부) 요건을 설정하므로 외부지향적이다.,False
T008,externally-directed,"이 고시는 유치원·어린이집 등 개별 기관과 교사가 따라야 할 누리과정의 편성·운영, 교수학습, 평가 기준을 정하여 외부 교육기관과 교사의 실질적 활동을 구속한다.",False
T009,externally-directed,"This rule sets the pricing standards and cost calculation methods that publishers (external private actors) must follow to determine the official price of textbooks, directly affecting their legal/economic position.",False
T010,externally-directed,"이 예규는 개별 교원의 연수학점 인정, 승진후보자명부 반영 등 교원 개인의 법적 지위(경력·승진 관련 사항)에 영향을 미치는 기준을 정하고 있어 외부(개인)를 대상으로 한다.",False
T011,externally-directed,이 훈령은 교육공무원 개인이 명예퇴직수당을 신청·수령하는 절차와 자격요건을 정하여 개별 공무원의 개인적 법적 지위(수당 지급 여부)에 관한 사항을 규율한다.,False
T013,internal,"이 규정은 교육부·시도교육청 등 교육행정기관 내부의 공문서 시행·관리 및 규제지침 게시·사후관리 절차만을 규율하며, 적용범위(제2조)도 교육행정기관으로 한정되어 있어 사립학교 등 외부 주체나 개인의 법적 지위를 규율하지 않는다.",False
T014,externally-directed,기업·공공연구기관·대학 등 외부 기관을 대상으로 인증기준 설정 및 심사를 통해 인증마크를 부여하는 제도를 규정하고 있어 외부 민간기관에 대한 인증 요건과 지위를 정하고 있다.,False
T015,internal,"이 규정은 교육데이터전략위원회의 설치·구성·운영 등 행정내부 위원회 운영절차만을 규정하며, 민간 개인이나 외부기관에 대한 의무·기준·제재·급부를 설정하지 않는다.",False
T016,externally-directed,"이 규정은 공무원이 아닌 민간 청년들을 자문단원으로 위촉·해촉하고 비밀누설금지 의무, 수당 지급 등 개인의 법적 지위에 관한 사항을 정하고 있어 외부 개인을 대상으로 한다.",False
T017,internal,"The rule establishes internal committee structures, procedures, and staff incentives/immunities for the Ministry's own conflict-management operations, with private/expert participants only serving as advisory members rather than being regulated as external addressees.",False
T018,externally-directed,"재심의 신청, 적극행정면책 신청 등은 자체감사를 받는 기관·개인(공무원 등)의 신청 및 면책 요건을 규정하여 감사 대상자 개인의 법적 지위에 영향을 미치는 조항을 포함한다.",True
T019,undecidable,,True
T021,externally-directed,정보주체(개인)가 직접 열람·정정·삭제·처리정지 등을 요구할 수 있는 서식과 절차를 규정하여 외부 개인의 법적 지위(권리행사)에 관한 사항을 정하고 있다.,False
T022,internal,"이 규정은 교육부 내부 계약심의위원회의 구성·운영 절차만을 정하고 있으며, 외부위원 위촉 조항도 위원회라는 행정기관 내부 조직 구성에 관한 것으로 외부 민간 주체의 권리·의무를 설정하지 않는다.",False
T023,externally-directed,"이 규정은 교육부와 계약을 맺는 개별 변호사(고문변호사·소송대리인)의 위촉·해촉 요건, 이해충돌 금지, 보수 지급 등 외부 개인의 법적 지위와 권리·의무를 정하고 있다.",False
T024,internal,"이 규정은 교육부 및 소속·위탁 운영기관 내부의 공공데이터 품질관리 체계, 책임자 지정, 표준·구조·산출물 관리 절차 등 행정조직 내부 업무 처리를 규정할 뿐 민간 등 외부 주체의 법적 지위나 의무·권리를 규율하지 않는다.",False
T025,externally-directed,"The rule includes a copyright assignment contract, license consent form, and warning letter addressed to external authors, contractors, or individuals whose copyright and legal rights vis-à-vis the Ministry are directly governed.",False
T026,internal,이 규정은 소속 공무원의 국외출장 심사·허가 절차와 출장계획서·심사의결서 등 행정 내부 업무처리 기준만을 정하고 있어 외부 민간 주체나 개인의 법적 지위에 대한 규율이 아니다.,False
T027,undecidable,,True
T028,externally-directed,"This code of conduct sets disciplinary standards, sanctions, and personal obligations (gift receipt limits, lecture fee caps, disciplinary punishment scales) directly for individual public servants in their personal legal position, not for organs as organs.",False
T029,externally-directed,"이 지침은 공익신고자(외부 개인)의 신고 절차, 개인정보 기재, 보호·지원 등 외부인의 법적 지위에 관한 사항을 규율하는 서식을 포함하고 있어 단순한 내부 사무처리를 넘어선다.",False
T030,externally-directed,"This disciplinary schedule sets sanction standards applying to individual public officials' personal legal position (demotion, suspension, salary reduction, reprimand) for violations of conflict-of-interest duties, which falls under individuals in their own legal status rather than internal organ-to-organ administration.",False
T031,internal,"이 지침은 중앙행정기관 간 협의체 구성·운영, 성과 발굴·선정 절차, 예산 조정·배분 등 정부부처 상호간의 협력체계와 내부 업무처리 절차만을 규율할 뿐, 민간 기관이나 개인의 법적 지위·의무·제재를 직접 규정하지 않는다.",False
T032,undecidable,,True
