id,r1_L1,r2_L1,r3_L1,r1_L2,r2_L2,r3_L2,L1_일관성,L2_일관성
P00007,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00014,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00022,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P00026,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00051,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00052,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00078,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00093,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00109,위임,위임,위임,해당없음,해당없음,부령,1.0,0.667
P00118,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00119,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00131,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00154,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00172,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00176,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00178,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00185,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00188,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00192,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00203,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00269,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P00286,위임,위임,위임,대통령령|조례,해당없음,대통령령|조례,1.0,0.667
P00321,위임,위임,위임,대통령령|조례|부령|미특정,해당없음,대통령령|조례|미특정|해당없음,1.0,0.333
P00331,위임,위임,위임,대통령령|조례,해당없음,대통령령|조례,1.0,0.667
P00338,위임,인용,위임,해당없음,해당없음,대통령령|조례,0.667,0.667
P00347,인용,위임,위임,해당없음,해당없음,대통령령|조례,0.667,0.667
P00358,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00362,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00364,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00400,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P00435,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P00468,위임,위임,위임,해당없음,해당없음,해당없음,1.0,1.0
P00479,위임,위임,위임,해당없음,해당없음,해당없음,1.0,1.0
P00483,위임,위임,인용,교육규칙,해당없음,교육규칙,0.667,0.667
P00517,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00536,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00548,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00567,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00575,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00578,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00590,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00622,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00629,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00633,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00645,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00671,위임,위임,위임,조례,대통령령|조례,대통령령|조례,1.0,0.667
P00683,위임,위임,위임,조례,조례,조례,1.0,1.0
P00702,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00712,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00715,위임,위임,위임,조례,조례,조례,1.0,1.0
P00720,위임,위임,위임,조례,대통령령|조례,조례,1.0,0.667
P00728,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00743,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00747,위임,위임,위임,대통령령|조례,대통령령|부령|미특정,대통령령|조례,1.0,0.667
P00753,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P00765,위임,위임,위임,미특정,대통령령|조례,대통령령|조례,1.0,0.667
P00796,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00803,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00835,위임,위임,위임,조례,조례,조례,1.0,1.0
P00895,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00906,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00964,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00983,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00996,위임,위임,위임,부령,대통령령|부령,대통령령|부령|고시|훈령|예규|조례|교육규칙|미특정|해당없음,1.0,0.333
P01003,위임,위임,위임,대통령령|조례,부령,미특정,1.0,0.333
P01007,위임,위임,위임,미특정,대통령령|조례,대통령령|조례,1.0,0.667
P01047,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01057,위임,위임,위임,대통령령|조례,대통령령|조례,해당없음,1.0,0.667
P01061,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01087,위임,위임,위임,조례,조례,조례,1.0,1.0
P01093,위임,위임,위임,조례,조례,조례,1.0,1.0
P01106,위임,위임,위임,조례,조례,조례,1.0,1.0
P01113,위임,위임,위임,조례,조례,조례,1.0,1.0
P01114,위임,위임,위임,조례,조례,조례,1.0,1.0
P01133,위임,위임,위임,조례,조례,조례,1.0,1.0
P01139,위임,위임,위임,조례,조례,조례,1.0,1.0
P01154,위임,위임,위임,조례,조례,조례,1.0,1.0
P01162,위임,위임,위임,조례,조례,조례,1.0,1.0
P01168,위임,위임,위임,조례,조례,조례,1.0,1.0
P01198,위임,위임,위임,조례,조례,조례,1.0,1.0
P01204,위임,위임,위임,조례,조례,조례,1.0,1.0
