id,조문문장,T3_L1,T3_L2,T3_확신도,T3_근거
P00001,대통령령으로 정하는,판단불가,대통령령,3,문장이 '대통령령으로 정하는'에서 잘려 무엇을 위임하는지 확인할 수 없어 판정이 불가하나 문언상 지정 형식은 대통령령이다.
P00002,대통령령으로 정하는,판단불가,미특정,4,문장이 잘려 규율 대상과 종결 형태를 확인할 수 없다.
P00003,대통령령으로 정하는,판단불가,대통령령,3,문장이 '대통령령으로 정하는'에서 끊겨 위임 대상과 종결형을 확인할 수 없다.
P00004,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'에서 잘려 무엇을 위임하는지 확인할 수 없어 판정이 불가하나 표지어구는 대통령령이다.
P00005,대통령령으로 정한다,위임,대통령령,4,문말 '대통령령으로 정한다'는 대통령령에 규율권한을 넘기는 위임이다.
P00006,대통령령으로 정한다,위임,대통령령,4,문말 '대통령령으로 정한다'는 대통령령에 규율권한을 넘기는 위임 문언이다.
P00007,대통령령으로 정한다,위임,대통령령,4,문언이 대통령령에 규율권한을 넘기는 위임 종결형이다.
P00008,대통령령으로 정한다,위임,대통령령,4,문말 종결형 '대통령령으로 정한다'로 대통령령에 규율권한을 넘기는 위임이다.
P00009,대통령령으로 정한다,위임,대통령령,4,'대통령령으로 정한다'는 종결형으로 대통령령에 규율권한을 넘기는 위임이다.
P00010,대통령령으로 정한다,위임,대통령령,4,문장이 축약되었으나 '대통령령으로 정한다'는 종결형으로 대통령령에 규율권한을 넘기는 위임이다.
P00011,대통령령으로 정하는,판단불가,대통령령,3,문장이 '대통령령으로 정하는'에서 잘려 수식 대상과 종결 형태를 알 수 없어 위임 여부를 판정할 수 없다.
P00012,대통령령으로 정하는 비율의,판단불가,대통령령,3,문장이 '대통령령으로 정하는 비율의'라는 구 단편으로 잘려 있어 규율권한 이전 여부를 확정할 수 없으나 대통령령 표지어구는 확인된다.
P00013,대통령령으로 정하는 인력의 양성과,위임,대통령령,3,문장이 절단되었으나 '대통령령으로 정하는 인력'이라는 부분 위임 표지가 명확하다.
P00014,내국인의 수는 대통령령으로 정하는,위임,대통령령,3,문장이 잘려 있으나 '대통령령으로 정하는'이라는 부분 위임 문언이 명확하다.
P00015,대통령령으로 정하는,판단불가,대통령령,3,문장이 '대통령령으로 정하는'에서 절단되어 무엇을 위임하는지 확인할 수 없으나 표지어구는 대통령령이다.
P00016,대통령령으로 정한다,위임,대통령령,4,종결형 '대통령령으로 정한다'로 학력인정 관련 사항의 규율권한을 대통령령에 넘긴다.
