id,조문문장,T4_L1,T4_L2,T4_확신도,T4_근거
G0001,대통령령으로 정하는 경미한 사항을,위임,대통령령,5,문장에서 '대통령령으로 정하는 경미한 사항을' 처럼 일부를 대통령령에 위임하는 표현으로 해석되며 규율권한이 하위 규범으로 넘어간다.
G0002,또는 대통령령으로,위임,대통령령,5,표지어구가 '대통령령으로'로 시작되어 요건 일부를 하위 규범에 넘기는 부분으로 판단된다.
G0003,"교육부장관이 정하는 기준에 적합한 산업체, 기관 또는 시설에서 전공학과 및 그에 관련되는 학과의 학문분야에",위임,대통령령|조례,2,"문구 '교육부장관이 정하는'은 규율권한의 위임 요소를 시사하지만, 구체적 범위가 문장 내에 한정되어 있지 않고 상위 규정에서 이미 정하는 방식의 위임으로 해석될 여지가 있다. 또한 '교육부장관이 정하는'은 형식상 인용이 아니라 요건을 정하는 위임의 표현으로 판단될 수 있으나, 구체적 규정 범주가 제시되지 않아 '대통령령|조례'의 병기 여부는 확정하기 어렵다."
G0004,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,위임,대통령령|조례,5,문장 말미에 따라 '대통령령 또는 조례로 정하는 바에 따라'로 규율권한의 위임이 명시되어 있다.
G0005,3. 그 밖에 의무상환액의 납부에 필요한 사항으로서 교육부장관이 정하는 사항,위임,대통령령|조례|해당없음,3,"‘교육부장관이 정하는 사항’은 특정 인용 없이 하위 규범에 그 내용 범위를 정하거나 일부를 맡기는 형태로 보이며, 형식상 위임에 해당한다. 다만 구체적으로 어떤 법형식인지는 문맥상 명확하지 않아 병기 판단을 보수적으로 '대통령령|조례' 중 하나로 보이되, 실제 제정 형식이 확정되지 않아 해석상 미특정에 가깝다."
G0006,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,위임,조례,5,표지어구가 '조례로'로 끝나며 하위 규범에 권한 위임을 명시하고 있다.
G0007,대통령령으로 정하는,위임,대통령령,5,문장이 끝나며 '대통령령으로 정하는'으로 규율권한을 하위 규범에 넘긴다고 판단된다.
G0008,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",위임,대통령령|조례,4,문장 말미의 포괄적 지시와 일부 요건을 조례로 정하도록 하는 부분은 위임에 해당한다. 다만 표지어구에서 이미 시·도의 조례로 정하는 바에 따라라는 구절이 반복되므로 조례를 명시적으로 지정하는 형태로 분류된다.
G0009,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,위임,조례,5,문장 말미의 표지구 조례로 정하는 사항은 하위 규범인 조례에 의한 규율권한 위임을 의미한다.
G0010,생활비 대출원리금의 계산방법은 교육부장관이 정하여 고시한다.,위임,대통령령|조례,4,"표지어구가 '정하여 고시한다'로 요건 일부를 담당하도록 하여 규율권한의 위임 가능성이 있다. 문맥상 상위법이 하위 규범에 구체적 규정 권한을 넘기는 형태로 보이나, 구체적 형식은 명시되지 않아 대통령령이나 조례 중 하나를 병기 가능성이 있다."
G0011,"2. 도 및 특별자치도에 있는 고등학교: 매년 학생으로부터 받은 수업료 및 입학금 총액의 3퍼센트 이상으로 하되, 구체적인 기준은 해당 도 및 특별자치도의 교육규칙으로 정할 것",위임,대통령령|조례,4,문장 중 '해당 도 및 특별자치도의 교육규칙으로 정할 것'은 구체적 기준의 마련을 하위 규범에 위임하는 형태이므로 위임으로 판단한다. 표지어구가 '특별자치도의 교육규칙으로'로 명시되어 있어 형식은 교육규칙임.
G0012,사항은 대통령령으로,위임,대통령령,5,문장이 '사항은 대통령령으로'로 끝나며 규율권한을 하위 규범에 넘기는 위임의 형태를 갖는다.
G0013,"① 제23조, 제24조 및 제25조의2에 따른 가산점의 부여 기준ㆍ요건 및 가산점 평정대상기간 등 가산점 부여에 필요한 사항은 해당 지방자치단체의 교육규칙으로 정한다.",위임,교육규칙,5,표지어구에 따라 가산점 부여에 필요한 사항은 해당 지방자치단체의 교육규칙으로 정한다는 문장은 하위 규범인 교육규칙에 사항을 위임하는 형태로 규율권한을 넘긴다.
G0014,① 시·도의회의 교육·학예에 관한 사무를 처리하기 위하여 조례로 정하는 바에 따라 시·도의회의 사무처에 지원조직과 사무직원을 둔다.,위임,조례,5,"문장말에 '조례로 정하는 바에 따라'로 위임 구문이 명시되어 있으며, 규율권한의 하위 규범 위임으로 해석된다."
G0015,사항은 교육부령으로,위임,해당없음,5,문장 말미가 요건 일부를 맡기는 형태로 보이며 규율권한의 넘김으로 판단된다. 표지어구가 '교육부령'으로 명시되어 있어 인용이 아니다.
G0016,대통령령으로 정하는 사람,위임,대통령령,5,문장이 규범 형식으로서 '대통령령으로 정하는'으로 시작하여 하위 규범의 규율권한 범위를 특정하도록 하며 위임의 형태를 보인다.
G0017,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,위임,조례,5,문장 말미에 따라 '해당 지방자치단체의 조례로 정한다'로 요건 일부를 지방자치단체 조례에 위임하고 있다.
G0018,④ 기금의 설치ㆍ운용에 관하여 필요한 사항은 조례로 정한다.,위임,조례,5,표지어구가 '사항은 조례로'로 끝나며 조례로 정하는 바에 따라 규율권한을 하위 규범에 넘기는 위임에 해당한다.
G0019,교육부령으로 정한다,위임,미특정,3,"‘교육부령으로 정한다’는 형식으로 일부 요건을 위임하는 표현이나, 구체적 규정의 범위가 문장만으로 불투명해 판단의 여지가 있어 위임으로 판단하되, 표지어구가 ‘교육부령’으로 명시되어도 준용 여부는 맥락에 따라 달라질 수 있다."
G0020,교육부령으로 정한다,위임,부령,5,"문장 말미의 '교육부령으로 정한다'는 상위 규범이 하위 규범의 규율권한을 위임하는 형태로 해석되며, 표지어구도 이미 '교육부령'이 등장하므로 인용이 아닌 위임으로 판단한다."
G0021,"② 보육교직원의 보육 활동 보호에 관한 다음 각 호의 사항을 심의하기 위하여 시·도에 시·도보육활동보호위원회를 둔다. 다만, 시·도보육활동보호위원회는 그 기능을 담당하기에 적합한 다른 위원회가 있고 그 위원회의 위원이 제3항에 따른 자격을 갖춘 경우에는 시·도의 조례로 정하는 바에 따라 그 위원회가 시·도보육활동보호위원회의 기능을 대신할 수 있다.",위임,조례,5,"표지어구: 조례로 나타난 규정이며, 다른 위원회의 기능을 대신할 수 있도록 시·도조례로 정하는 바에 따라 위임의 형태를 보인다."
G0022,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장 말미의 '조례로 정하는' 표현은 하위 규범이 정하는 사항을 지시하는 위임의 형태로 판단된다.
G0023,법률로 정한다,위임,해당없음,4,"표지어구가 법률로 정한다고 명시되어 있어 일반적으로 위임의 형태로 규율권한을 넘기는 부분으로 판단되나, 실제 조문 맥락상 상위법의 규정 준수를 위한 명시적 대상을 지시하는 표현에 해당하여 인용 가능성도 있다. 다만 경계 규칙에서 부분 위임으로 해석될 여지가 있어 위임으로 판단."
G0024,"교육감은 법 제20조에 따라 법 제19조에 따른 출입·검사·수거 등, 법 제21조에 따른 행정처분 등의 요청 및 법 제25조에 따른 과태료 부과·징수권한을 조례로 정하는 바에 따라 교육장에게 위임할 수 있다.",위임,조례,5,표지어구가 조례로 정하는 바에 따라 교육장에게 위임할 수 있다로 명시되어 있어 위임 규정임.
G0025,⑥ 제1항부터 제5항까지에서 규정한 사항 외에 조정위원회의 구성·운영 등에 관한 구체적인 사항은 시·도 교육규칙으로 정한다.,위임,교육규칙,5,문장이 구체적 사항을 시·도 교육규칙으로 정하도록 위임하고 있다. 표지어구가 '교육규칙으로'이므로 L2는 교육규칙.
G0026,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,조례,5,표지어구가 조례로 정한다를 통해 구체적 사항의 규율권한 위임이 드러난다.
G0027,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,위임,조례,5,포괄적 위임의 형태로 지방자치단체의 조례로 규율사항을 정하도록 위임하고 있다.
G0028,② 제1항에 따른 특성화고등학교 지정·운영위원회의 구성 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,위임,교육규칙,5,표지어구 '교육규칙으로 정한다'는 요건 일부를 시·도 교육규칙에 위임하는 것으로 해석되어 위임에 해당한다.
G0029,② 특별시장·광역시장·특별자치시장·도지사·특별자치도지사 및 시장·군수·구청장은 조례로 정하는 바에 따라 제1항 각 호의 경비의 전부 또는 일부를 방과후 과정을 운영하거나 제12조에 따른 수업일수를 초과하여 운영하는 유치원에 지원할 수 있다.,위임,조례,5,문장 끝의 '조례로 정하는 바에 따라'는 하위 규범인 조례에 의한 구체화로 규율권한의 하위 위임을 의미한다.
G0030,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,조례,5,문장 말미의 표지어구가 ‘조례로 정한다’로 공립어린이집은 조례에 따른 구체적 사항 정함을 명시하여 위임에 해당한다.
G0031,대통령령으로 정한다,위임,대통령령,5,"문장이 종결형으로 '대통령령으로 정한다'고 규정되어 있어, 규율권한을 하위 규범에 넘긴 위임의 형태를 나타낸다."
G0032,사항은 대통령령으로,위임,대통령령,5,"문장 말미의 표지어구가 대통령령임을 명시하고 있으며, '사항은 대통령령으로'라는 표현은 요건 일부를 위임하는 형태로 해석된다."
