id,조문문장,T2_L1,T2_L2,T2_확신도,T2_근거
G0001,대통령령으로 정하는 경미한 사항을,위임,대통령령,5,경미한 사항의 범위를 대통령령에 위임하는 부분 위임이다.
G0002,또는 대통령령으로,판단불가,해당없음,4,문장이 조각나 있어 맥락상 규율 범위를 판정할 수 없다.
G0003,"교육부장관이 정하는 기준에 적합한 산업체, 기관 또는 시설에서 전공학과 및 그에 관련되는 학과의 학문분야에",위임,미특정,4,교육부장관이 정하는 기준이라는 문언은 형식을 특정하지 않은 위임이다.
G0004,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,위임,대통령령|조례,5,대통령령과 조례가 병기되어 규율권한을 넘기는 위임 규정이다.
G0005,3. 그 밖에 의무상환액의 납부에 필요한 사항으로서 교육부장관이 정하는 사항,위임,미특정,4,교육부장관이 정하도록 하여 규율권한을 넘기나 법형식은 명시되지 않았다.
G0006,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,위임,조례,4,권한 위임의 구체적 절차를 조례로 정하도록 규율권한을 넘긴다.
G0007,대통령령으로 정하는,위임,대통령령,3,문장이 잘려 있으나 '대통령령으로 정하는'은 요건을 하위 법령에 위임하는 표현이다.
G0008,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",위임,미특정|조례,4,"국립학교는 학칙, 공립학교는 조례로 정하도록 규율권한을 넘기며 학칙은 형식 미특정에 해당한다."
G0009,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,위임,조례,5,필요한 사항을 조례로 정하도록 규율권한을 넘기는 위임 규정이다.
G0010,생활비 대출원리금의 계산방법은 교육부장관이 정하여 고시한다.,위임,고시,5,교육부장관이 고시로 정하도록 규율권한을 위임하는 문장이다.
G0011,"2. 도 및 특별자치도에 있는 고등학교: 매년 학생으로부터 받은 수업료 및 입학금 총액의 3퍼센트 이상으로 하되, 구체적인 기준은 해당 도 및 특별자치도의 교육규칙으로 정할 것",위임,교육규칙,5,구체적인 기준을 해당 교육규칙으로 정하도록 규율권한을 넘긴다.
G0012,사항은 대통령령으로,위임,대통령령,3,문장이 잘려 있으나 '사항은 대통령령으로'라는 표지로 보아 대통령령에 규율권한을 위임하는 구조로 판단됨.
G0013,"① 제23조, 제24조 및 제25조의2에 따른 가산점의 부여 기준ㆍ요건 및 가산점 평정대상기간 등 가산점 부여에 필요한 사항은 해당 지방자치단체의 교육규칙으로 정한다.",위임,교육규칙,5,가산점 부여 기준 등 세부사항을 교육규칙으로 정하도록 규율권한을 위임한다.
G0014,① 시·도의회의 교육·학예에 관한 사무를 처리하기 위하여 조례로 정하는 바에 따라 시·도의회의 사무처에 지원조직과 사무직원을 둔다.,위임,조례,5,지원조직과 사무직원 관련 사항을 조례로 정하도록 규율권한을 위임한다.
