id,조문문장,T1_L1,T1_L2,T1_확신도,T1_근거
G0001,대통령령으로 정하는 경미한 사항을,위임,대통령령,5,대통령령이 정할 사항의 범위('경미한 사항')를 지시하며 규율권한을 넘긴다.
G0002,또는 대통령령으로,판단불가,미특정,1,문장이 단편적으로 절단되어 있어 전체 맥락과 규율 대상을 판정할 수 없다.
G0003,"교육부장관이 정하는 기준에 적합한 산업체, 기관 또는 시설에서 전공학과 및 그에 관련되는 학과의 학문분야에",인용,해당없음,4,"완료형 '정하는'으로 이미 정해진 기준을 가리키는 인용이며, 문장이 미완성이어서 전체 맥락 판단에 제약이 있다."
G0004,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,인용,해당없음,4,"교육감의 개별 처분 권한(교육기관 설치)을 부여하는 것이며, '대통령령 또는 조례로 정하는 바에 따라'는 이미 정해진 규범을 준수하도록 지시하는 인용이다."
G0005,3. 그 밖에 의무상환액의 납부에 필요한 사항으로서 교육부장관이 정하는 사항,위임,미특정,4,"교육부장관이 정하는 사항으로 규율권한을 넘기되, 법형식을 명시하지 않았으므로 미특정이다."
G0006,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,위임,조례,5,"교육감이 조례로 정하는 바에 따라 권한을 위임할 수 있다는 규정으로, 조례 제정을 통해 위임 범위와 방식을 정하도록 하는 위임이다."
G0007,대통령령으로 정하는,위임,대통령령,5,대통령령으로 정할 사항의 범위를 지시하며 규율권한을 넘기는 부분 위임이다.
G0008,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",인용,해당없음,5,"완료형 '정하는 바에 따라'는 이미 존재하는 조례를 가리키는 인용이며, 운영위원회의 의견 수렴 절차 준수를 규정하는 것으로 규율권한 위임이 아니다."
G0009,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,위임,조례,5,조례로 정하는 사항으로 명시하여 지방자치단체에 규율권한을 넘긴다.
G0010,생활비 대출원리금의 계산방법은 교육부장관이 정하여 고시한다.,인용,해당없음,4,"완료형 '정하여 고시한다'는 이미 교육부장관이 정한 기존 고시를 가리키는 인용이며, 규율권한 위임이 아니다."
