id,조문문장,T6_L1,T6_L2,T6_확신도,T6_근거
G0001,대통령령으로 정하는 경미한 사항을,판단불가,대통령령,2,문장이 '대통령령으로 정하는'까지만 제시되어 종결 구조와 기능이 불완전하여 위임인지 인용인지 단정하기 어렵다.
G0002,또는 대통령령으로,판단불가,대통령령,1,문장이 '또는 대통령령으로'까지만 제시되어 서술이 완결되지 않아 위임인지 인용인지 판단할 수 없다.
G0003,"교육부장관이 정하는 기준에 적합한 산업체, 기관 또는 시설에서 전공학과 및 그에 관련되는 학과의 학문분야에",판단불가,미특정,2,"문장이 중간에서 끝나 규율권한 위임인지 단순 수식인지 확정하기 어렵지만, 명시된 형식은 없고 '교육부장관이 정하는'만 드러난다."
G0004,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,위임,대통령령|조례,4,'대통령령 또는 조례로 정하는 바에 따라'는 설치 기준·방식을 하위 규범 형식으로 정하도록 명시한 위임이다.
G0005,3. 그 밖에 의무상환액의 납부에 필요한 사항으로서 교육부장관이 정하는 사항,위임,미특정,4,'교육부장관이 정하는 사항'은 하위 기준 설정을 맡기는 위임이지만 법형식을 명시하지 않아 미특정이다.
G0006,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,위임,조례,4,문언상 '조례로 정하는 바에 따라'라고 하여 조례 형식에 규율사항을 맡기고 있으므로 위임이다.
G0007,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로만 잘려 있어 실제로 규율권한을 넘기는 위임 문장인지 완결된 인용 구문인지 맥락 없이 단정하기 어렵다.
G0008,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",위임,조례|미특정,4,"'학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라'는 의견 수렴 절차를 학칙과 조례에 맡기는 위임이다."
G0009,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,위임,조례,5,‘해당 시·도의 조례로 정하는 사항’은 필요한 사항의 범위를 두고 조례에 규율권한을 넘기는 명시적 위임이다.
G0010,생활비 대출원리금의 계산방법은 교육부장관이 정하여 고시한다.,위임,고시,4,계산방법을 교육부장관이 정하여 고시하도록 하여 하위 규범에 규율권한을 넘기며 법형식도 고시로 명시한다.
G0011,"2. 도 및 특별자치도에 있는 고등학교: 매년 학생으로부터 받은 수업료 및 입학금 총액의 3퍼센트 이상으로 하되, 구체적인 기준은 해당 도 및 특별자치도의 교육규칙으로 정할 것",위임,교육규칙,5,문장 끝의 '교육규칙으로 정할 것'은 구체적인 기준을 하위 규범인 교육규칙에 정하도록 명시한 위임이다.
G0012,사항은 대통령령으로,판단불가,대통령령,2,문장이 '사항은 대통령령으로'로 잘려 있어 규율권한 위임의 완결된 표현인지 확인할 수 없다.
G0013,"① 제23조, 제24조 및 제25조의2에 따른 가산점의 부여 기준ㆍ요건 및 가산점 평정대상기간 등 가산점 부여에 필요한 사항은 해당 지방자치단체의 교육규칙으로 정한다.",위임,교육규칙,5,가산점 부여에 필요한 사항을 해당 지방자치단체의 교육규칙으로 정한다고 하여 하위 규범에 규율권한을 명시적으로 위임한다.
G0014,① 시·도의회의 교육·학예에 관한 사무를 처리하기 위하여 조례로 정하는 바에 따라 시·도의회의 사무처에 지원조직과 사무직원을 둔다.,위임,조례,5,'조례로 정하는 바에 따라'는 지원조직과 사무직원 설치에 관한 사항을 조례에 맡기는 명시적 위임이다.
G0015,사항은 교육부령으로,판단불가,부령,1,문장이 '사항은 교육부령으로'로 잘려 있어 규율권한 위임의 완결된 표현인지 여부를 문맥 없이 확정하기 어렵다.
G0016,대통령령으로 정하는 사람,위임,대통령령,4,'대통령령으로 정하는'은 사람의 범위를 하위 규범에 맡기는 부분위임 표현이다.
G0017,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,위임,조례,5,필요한 사항을 해당 지방자치단체의 조례로 정한다고 하여 하위 규범인 조례에 규율권한을 명시적으로 위임한다.
G0018,④ 기금의 설치ㆍ운용에 관하여 필요한 사항은 조례로 정한다.,위임,조례,5,‘필요한 사항은 조례로 정한다’는 문언으로 하위 규범인 조례에 규율권한을 명시적으로 위임한다.
G0019,교육부령으로 정한다,위임,부령,5,"문장 자체가 종결형으로 교육부령에 사항을 정하도록 규율권한을 넘기므로 위임이며, 교육부령은 부령에 해당한다."
G0020,교육부령으로 정한다,위임,부령,5,문장 자체가 종결형으로 교육부령에 사항을 정하도록 규율권한을 넘기므로 위임이다.
G0021,"② 보육교직원의 보육 활동 보호에 관한 다음 각 호의 사항을 심의하기 위하여 시·도에 시·도보육활동보호위원회를 둔다. 다만, 시·도보육활동보호위원회는 그 기능을 담당하기에 적합한 다른 위원회가 있고 그 위원회의 위원이 제3항에 따른 자격을 갖춘 경우에는 시·도의 조례로 정하는 바에 따라 그 위원회가 시·도보육활동보호위원회의 기능을 대신할 수 있다.",위임,조례,5,'시·도의 조례로 정하는 바에 따라'는 하위 규범인 조례에 기준이나 절차를 정하도록 맡기는 명시적 위임이다.
G0022,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,'조례로 정하는 시설 또는 장소'는 하위 규범인 조례에 시설·장소의 범위를 정하도록 맡기는 위임이다.
G0023,법률로 정한다,판단불가,해당없음,2,문장 단편인 '법률로 정한다'만으로는 하위 규범 위임인지 단순 입법사항 선언인지 맥락 없이 판정하기 어렵다.
G0024,"교육감은 법 제20조에 따라 법 제19조에 따른 출입·검사·수거 등, 법 제21조에 따른 행정처분 등의 요청 및 법 제25조에 따른 과태료 부과·징수권한을 조례로 정하는 바에 따라 교육장에게 위임할 수 있다.",위임,조례,4,'조례로 정하는 바에 따라'는 조례가 위임의 기준·방식을 정하도록 명시한 부분위임이다.
G0025,⑥ 제1항부터 제5항까지에서 규정한 사항 외에 조정위원회의 구성·운영 등에 관한 구체적인 사항은 시·도 교육규칙으로 정한다.,위임,교육규칙,5,'구체적인 사항은 시·도 교육규칙으로 정한다'는 문언으로 하위 규범인 교육규칙에 규율권한을 명시적으로 위임한다.
G0026,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,미특정|조례,4,"교육부장관이 정하도록 한 부분은 법형식이 특정되지 않은 위임이고, 공립어린이집 부분은 조례로 정하도록 명시한 위임이다."
G0027,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,위임,조례,5,'필요한 사항은 지방자치단체의 조례로 정한다'는 문언으로 하위 규범인 조례에 규율권한을 명시적으로 위임한다.
G0028,② 제1항에 따른 특성화고등학교 지정·운영위원회의 구성 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,위임,교육규칙,5,‘교육규칙으로 정한다’는 문언으로 위원회의 구성 및 운영 사항을 하위 규범인 교육규칙에 명시적으로 위임한다.
G0029,② 특별시장·광역시장·특별자치시장·도지사·특별자치도지사 및 시장·군수·구청장은 조례로 정하는 바에 따라 제1항 각 호의 경비의 전부 또는 일부를 방과후 과정을 운영하거나 제12조에 따른 수업일수를 초과하여 운영하는 유치원에 지원할 수 있다.,위임,조례,5,'조례로 정하는 바에 따라'는 지원 기준·방법 등에 관해 조례에 규율권한을 명시적으로 넘기는 표현이다.
G0030,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,미특정|조례,4,교육부장관이 정하도록 한 부분과 지방자치단체의 조례로 정하도록 한 부분이 병기되어 구체적 사항의 규율권한을 넘긴다.
G0031,대통령령으로 정한다,위임,대통령령,4,문장 자체가 대통령령에 사항을 정하도록 규율권한을 넘기는 전형적인 위임 표현이다.
G0032,사항은 대통령령으로,판단불가,대통령령,2,문장이 '사항은 대통령령으로'까지만 제시되어 종결 표현과 규율 내용이 없어 위임인지 인용인지 단정하기 어렵다.
G0033,③ 제2조제2호가목에 따른 평생교육기관의 설치자는 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정하는 바에 따라 평생교육시설의 운영과 관련하여 그 시설의 이용자에게 발생한 생명ㆍ신체상의 손해를 배상할 것을 내용으로 하는 보험가입 또는 공제사업에의 가입 등 필요한 안전조치를 하여야 한다,위임,조례,4,'조례로 정하는 바에 따라'는 안전조치의 기준이나 방법을 조례에 맡기는 명시적 위임이다.
G0034,"② 제13조에 따른 단위기관별 정원은 제1항에 따른 정원의 총수 범위에서 종류별ㆍ직급별로 구분하여 해당 시ㆍ도의 조례로 정한다. 다만, 다음 각 호의 어느 하나에 해당하는 정원은 조례로 그 총수만 정하고 그 범위에서 제13조제2항에 따른 단위기관별로 해당 시ㆍ도의 교육규칙으로 정한다.",위임,조례|교육규칙,5,문장에서 단위기관별 정원과 예외 정원의 총수·세부를 각각 조례와 교육규칙으로 정하도록 명시하여 규율권한을 넘긴다.
G0035,①지방자치단체의 장은 해당 연도 보조사업에 대하여 각급학교의 장에게 보조대상사업 및 그 예산액을 통지하고 보조신청서를 제출하도록 하여야 한다. 이 경우 해당 지방자치단체의 조례로 정하는 바에 따라 관할 교육감 또는 교육장을 거쳐 보조대상사업 및 그 예산액을 통지하거나 보조신청서를 제출하게 할 수 있다.,위임,조례,5,'해당 지방자치단체의 조례로 정하는 바에 따라'는 조례에 절차·방식을 정하도록 명시적으로 맡기는 위임이다.
G0036,대통령령으로 정한다,위임,대통령령,2,문장 자체는 간략하지만 종결형으로 대통령령에 사항을 정하도록 하여 규율권한을 넘기는 위임으로 보인다.
G0037,대통령령으로 정한다,위임,대통령령,2,문장 자체가 종결형으로 대통령령에 사항을 정하도록 맡기는 위임 표현이다.
G0038,"2. 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례에서 정하는 유치원, 초등학교, 중학교 및 고등학교 또는 이에 준하는 학교에 재학하는 학생에 대한 교습 제한기준을 충족할 것",인용,해당없음,5,‘조례에서 정하는 … 기준을 충족할 것’은 이미 조례에 정해진 기준을 요건으로 원용하는 표현으로 규율권한을 새로 넘기는 문장이 아니다.
G0039,대통령령으로 정한다,위임,대통령령,3,"문장 자체가 종결형으로 대통령령에 사항을 정하도록 규율권한을 넘기지만, 위임 대상 내용이 생략되어 있어 확신은 다소 낮다."
G0040,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,위임,조례,5,경비 지원에 필요한 사항을 해당 지방자치단체의 조례로 정하도록 하여 하위 규범에 규율권한을 명시적으로 넘긴다.
G0041,"② 공립 방송통신중학교 및 방송통신고등학교의 수업료등은 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례로 정한다. 다만, 수업료등의 금액은 해당 시·도의 조례에 따라 정해진 공립 고등학교의 수업료등의 금액보다 적어야 한다.",위임,조례,5,'시·도의 조례로 정한다'는 문언이 수업료등에 관한 사항을 조례에 맡기는 명시적 위임이다.
G0042,필요한 사항은 대통령령으로,판단불가,대통령령,2,문장이 '필요한 사항은 대통령령으로'까지만 제시되어 종결 표현이 없어 위임인지 여부를 확정하기 어렵다.
G0043,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,위임,조례,5,'필요한 사항은 해당지방자치단체의 조례로 정한다'는 문언으로 조례에 규율권한을 명시적으로 위임한다.
G0044,교육부령으로 정하는 발급신청서에,위임,부령,4,'교육부령으로 정하는'은 발급신청서의 형식·내용을 하위 규범인 부령에 맡기는 표현이다.
G0045,교육부령으로 정하는,판단불가,부령,2,"문장이 '교육부령으로 정하는'으로만 제시되어 종결 구조와 기능이 불완전해 위임인지 인용인지 단정하기 어렵지만, 명시된 법형식은 부령이다."
G0046,14. 그 밖에 대통령령이나 시ㆍ도의 조례로 정하는 사항,위임,대통령령|조례,5,'대통령령이나 시ㆍ도의 조례로 정하는 사항'은 하위 규범이 정할 사항을 명시적으로 맡기는 위임이다.
G0047,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,미특정|조례,5,구체적인 사항을 교육부장관이 정하고 지방자치단체의 조례로 정하도록 하여 하위 규범에 규율권한을 명시적으로 위임한다.
G0048,"② 방송통신중학교와 방송통신고등학교의 교과에 관하여는 「초·중등교육법 시행령」 제43조를 준용한다. 이 경우 각 교과의 교수(敎授) 요지, 과목, 수업시간수, 그 밖에 학습활동에 관한 사항은 국립 방송통신중학교 및 방송통신고등학교는 교육부장관이 정하고, 공립 방송통신중학교 및 방송통신고등학교는 시·도의 교육규칙으로 정한다.",위임,교육규칙,4,표지어구인 '시·도의 교육규칙으로 정한다'는 하위 규범 형식을 명시하여 사항을 정하도록 규율권한을 넘긴다.
G0049,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,미특정|조례,4,교육부장관이 정하고와 지방자치단체의 조례로 정한다는 문언으로 하위 규범 또는 형식 미특정 기준에 구체적 사항을 맡긴다.
G0050,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로만 잘려 있어 실제로 규율권한을 넘기는 문맥인지 인용인지 단정하기 어렵다.
G0051,대통령령으로 정하는 일정 배수를,위임,대통령령,3,'대통령령으로 정하는'은 하위 규범에 기준 설정을 맡기는 표현이지만 문장이 절단되어 범위 확인이 제한된다.
G0052,"③ 직속기관과 교육지원청 소속 기관의 장의 직급, 하부조직 및 그 사무 분장에 관한 사항은 해당 시ㆍ도의 조례 또는 조례의 위임에 따른 교육규칙으로 정한다.",위임,조례|교육규칙,5,'조례 또는 조례의 위임에 따른 교육규칙으로 정한다'고 하여 하위 규범에 규율권한을 명시적으로 넘기고 법형식을 병기한다.
G0053,④ 시ㆍ도교육감이 설치한 취업지원센터의 운영 등에 필요한 사항은 시ㆍ도의 조례로 정한다.,위임,조례,5,'필요한 사항은 시ㆍ도의 조례로 정한다'는 문언으로 하위 규범인 조례에 규율권한을 명시적으로 위임한다.
G0054,"② 제1항에 따른 소위원회의 구성 및 운영에 필요한 사항은 국립유치원의 경우에는 유치원규칙으로, 공립유치원의 경우에는 시ㆍ도의 조례로, 사립유치원의 경우에는 정관 또는 유치원규칙으로 정한다.",위임,조례,3,"소위원회의 구성·운영 사항을 하위 규범으로 정하도록 규율권한을 넘기며, 표지어구 기준 명시된 법형식은 조례이다."
G0055,대통령령으로 정한다,위임,대통령령,3,문장 자체가 '대통령령으로 정한다'라고 규율사항을 하위 규범에 맡기는 전형적인 위임 형식이다.
G0056,대통령령으로 정한다,위임,대통령령,2,문언상 대통령령에 사항을 정하도록 규율권한을 넘기는 위임으로 보인다.
G0057,필요한 사항은 대통령령으로,판단불가,대통령령,2,문장이 '필요한 사항은 대통령령으로'까지만 제시되어 종결 표현이 없어 위임인지 인용인지 확정하기 어렵다.
G0058,국정도서는 교육부장관이 정하여 고시하는 교과목의 교과용 도서로 한다,인용,해당없음,3,‘교육부장관이 정하여 고시하는’은 개별 교과목 지정과 그 고시를 가리키는 표현으로 보이며 법형식을 명시한 하위규범 위임으로 단정하기 어렵다.
G0059,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,'조례로 정하는 시설 또는 장소'는 하위 규범인 조례에 해당 사항의 내용을 정하도록 맡기는 명시적 위임이다.
G0060,대통령령으로 정한다,위임,대통령령,2,"문장 자체가 종결형으로 대통령령에 정하도록 맡기고 있어 위임으로 보이나, 무엇을 정하는지 본문이 생략되어 있어 확신은 다소 낮다."
G0061,법령과,판단불가,해당없음,5,문장이 '법령과'로만 제시되어 있어 위임인지 인용인지 문맥 없이 판정할 수 없다.
G0062,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,미특정|조례,4,구체적인 사항의 규율권한을 교육부장관이 정하도록 하고 공립어린이집은 조례로 정하도록 명시한 위임이다.
G0063,세부사항은 대통령령으로,판단불가,대통령령,2,문장이 '세부사항은 대통령령으로'로 종결되지 않아 규율권한 위임인지 여부를 단정하기 어렵지만 명시된 법형식은 대통령령이다.
G0064,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,위임,조례,5,경비 지원에 필요한 사항을 해당 지방자치단체의 조례로 정한다고 하여 하위 규범인 조례에 규율권한을 명시적으로 위임한다.
G0065,⑥ 지방자치단체는 해당 지방자치단체의 조례로 정하는 바에 따라 예산의 범위 내에서 「초ㆍ중등교육법」 제2조의 학교에 준하여 제2항에 따른 학력인정 평생교육시설에 필요한 보조금을 교부하거나 그 밖의 지원을 할 수 있다.,위임,조례,5,‘해당 지방자치단체의 조례로 정하는 바에 따라’는 지원 기준·방법을 조례에 맡기는 명시적 위임이다.
G0066,교육부령으로 정하는,판단불가,부령,2,문장이 '교육부령으로 정하는'으로만 잘려 있어 실제로 하위 규범에 사항을 위임하는 문맥인지 단순 수식인지 확정하기 어렵다.
G0067,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,'조례로 정하는'은 시설 또는 장소의 범위를 조례에 의해 정하도록 명시한 위임이다.
G0068,②제1항의 규정에 따른 지방교육행정협의회의 구성·운영에 관하여 필요한 사항은 교육감과 시·도지사가 협의하여 조례로 정한다.,위임,조례,5,구성·운영에 관한 필요한 사항을 협의하여 조례로 정한다고 하여 하위 규범인 조례에 규율권한을 명시적으로 넘긴다.
G0069,⑥ 그 밖에 시ㆍ도지원센터 또는 지역지원센터의 지정 및 지정 취소의 기준ㆍ절차 등에 필요한 사항은 대통령령으로 정하는 기준에 따라 해당 시ㆍ도의 조례로 정한다.,위임,대통령령|조례,5,‘대통령령으로 정하는 기준에 따라 해당 시·도의 조례로 정한다’는 문언으로 대통령령과 조례에 규율사항을 명시적으로 위임한다.
