id,조문문장,T6_L1,T6_L2,T6_확신도,T6_근거
P00001,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'까지만 제시되어 무엇을 어떻게 정하도록 하는지 종결 구조가 없어 위임 여부를 단정하기 어렵다.
P00002,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로만 잘려 있어 실제로 규율권한을 넘기는 문맥인지 단정하기 어렵다.
P00003,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로 잘려 있어 실제로 규율권한 위임인지 단순 수식인지 문맥 없이는 확정하기 어렵다.
P00004,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로만 잘려 있어 실제로 규율권한을 넘기는 위임 문장인지 맥락 없이 확정하기 어렵다.
P00005,대통령령으로 정한다,위임,대통령령,2,문장 자체가 '대통령령으로 정한다'로 종결되어 하위 규범인 대통령령에 규율권한을 넘긴다.
P00006,대통령령으로 정한다,위임,대통령령,2,문장 자체가 간략하지만 명시적으로 대통령령에 사항을 정하도록 하여 규율권한을 넘긴다.
P00007,대통령령으로 정한다,위임,대통령령,3,문장 자체가 대통령령에 사항을 정하도록 맡기는 위임 표현이지만 구체적 대상이 생략되어 있다.
P00008,대통령령으로 정한다,위임,대통령령,3,문언이 직접 대통령령에 사항을 정하도록 하여 규율권한을 넘기는 위임이다.
P00009,대통령령으로 정한다,위임,대통령령,2,문장 자체가 '대통령령으로 정한다'로 규율사항을 대통령령에 맡기는 위임 표현이다.
P00010,대통령령으로 정한다,위임,대통령령,2,문장 자체가 불완전하지만 명시적으로 대통령령에 정하도록 하여 규율권한을 넘기는 표현으로 보인다.
P00011,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로만 잘려 있어 실제로 규율권한을 넘기는 문맥인지 인용인지 단정하기 어렵다.
P00012,대통령령으로 정하는 비율의,판단불가,대통령령,2,문장이 '대통령령으로 정하는 비율의'로 끝나 의미가 완결되지 않아 위임인지 단순 수식인지 맥락 없이 확정하기 어렵다.
P00013,대통령령으로 정하는 인력의 양성과,판단불가,대통령령,2,"문장이 '대통령령으로 정하는'까지만 제시되어 있어 하위 규범에 사항을 위임하는 종결 구조인지, 이미 정해진 기준을 수식하는 인용인지 문맥 없이 확정하기 어렵다."
P00014,내국인의 수는 대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'에서 잘려 있어 위임의 완결된 규정인지 단순 수식인지 문맥 없이 확정하기 어렵다.
P00015,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로만 제시되어 서술이 잘려 있어 위임인지 인용인지 단정하기 어렵다.
P00016,대통령령으로 정한다,위임,대통령령,3,문장 자체가 종결형으로 대통령령에 사항을 정하도록 맡기고 있어 규율권한을 위임한다.
P00017,교육부장관이 정하는 회계기준 등에 따라 처리한다.,위임,미특정,4,'교육부장관이 정하는'은 하위 기준의 내용을 장관에게 정하도록 맡기는 표현이므로 위임이고 법형식은 명시되지 않아 미특정이다.
P00018,대통령령으로 정하는 바에 따라 외국교육기관의 신청을,판단불가,대통령령,2,문장이 '대통령령으로 정하는 바에 따라 외국교육기관의 신청을'로 중간에서 끊겨 있어 규율권한 위임의 완결된 문장인지 확정하기 어렵다.
P00019,대통령령으로 정하는,판단불가,대통령령,2,문장이 '대통령령으로 정하는'으로만 제시되어 있어 위임의 완결된 문장인지 인용의 일부인지 맥락 없이 확정하기 어렵다.
P00020,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,위임,교육규칙,5,'교육규칙으로 입학비율을 추가로 높일 수 있다'는 문언이 하위 규범 형식인 교육규칙에 규율권한을 명시적으로 부여한다.
