id,조문문장,T7_L1,T7_L2,T7_확신도,T7_근거
P00001,대통령령으로 정하는,위임,대통령령,,rule
P00002,대통령령으로 정하는,위임,대통령령,,rule
P00003,대통령령으로 정하는,위임,대통령령,,rule
P00004,대통령령으로 정하는,위임,대통령령,,rule
P00005,대통령령으로 정한다,위임,대통령령,,rule
P00006,대통령령으로 정한다,위임,대통령령,,rule
P00007,대통령령으로 정한다,위임,대통령령,,rule
P00008,대통령령으로 정한다,위임,대통령령,,rule
P00009,대통령령으로 정한다,위임,대통령령,,rule
P00010,대통령령으로 정한다,위임,대통령령,,rule
P00011,대통령령으로 정하는,위임,대통령령,,rule
P00012,대통령령으로 정하는 비율의,위임,대통령령,,rule
P00013,대통령령으로 정하는 인력의 양성과,위임,대통령령,,rule
P00014,내국인의 수는 대통령령으로 정하는,위임,대통령령,,rule
P00015,대통령령으로 정하는,위임,대통령령,,rule
P00016,대통령령으로 정한다,위임,대통령령,,rule
P00017,교육부장관이 정하는 회계기준 등에 따라 처리한다.,위임,미특정,,rule
P00018,대통령령으로 정하는 바에 따라 외국교육기관의 신청을,위임,대통령령,,rule
P00019,대통령령으로 정하는,위임,대통령령,,rule
P00020,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,판단불가,해당없음,,rule
P00021,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,판단불가,해당없음,,rule
P00022,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,판단불가,해당없음,,rule
P00023,"② 제1항제1호, 제1호의2, 제2호 및 제3호의 기준에 대한 구체적인 내용은 교육부장관이 정한다.",판단불가,해당없음,,rule
P00024,8. 그 밖에 신청기관의 지정 여부를 심의하기 위하여 교육부장관이 정하는 자료,위임,미특정,,rule
P00025,대통령령으로 정하는,위임,대통령령,,rule
P00026,대통령령으로 정하는,위임,대통령령,,rule
P00027,대통령령으로 정하는,위임,대통령령,,rule
P00028,필요한 사항은 대통령령으로,위임,대통령령,,rule
P00029,대통령령으로 정한다,위임,대통령령,,rule
P00030,대통령령으로 정한다,위임,대통령령,,rule
P00031,대통령령으로 정한다,위임,대통령령,,rule
P00032,대통령령으로 정한다,위임,대통령령,,rule
P00033,따로 법률로 정한다,인용,해당없음,,rule
P00034,따로 법률로 정한다,인용,해당없음,,rule
P00035,교육부령으로 정한다,위임,부령,,rule
P00036,대통령령으로 정하는,위임,대통령령,,rule
P00037,대통령령으로 정하는 사항,위임,대통령령,,rule
P00038,대통령령으로 정하는 바에,위임,대통령령,,rule
P00039,교육부령으로 정하는,위임,부령,,rule
P00040,대통령령으로 정하는,위임,대통령령,,rule
P00041,대통령령으로 정한다,위임,대통령령,,rule
P00042,대통령령으로 정하는,위임,대통령령,,rule
P00043,대통령령으로 정한다,위임,대통령령,,rule
P00044,대통령령으로 정한다,위임,대통령령,,rule
P00045,대통령령으로 정하는 임용기준과,위임,대통령령,,rule
P00046,대통령령으로 정하는 사항을,위임,대통령령,,rule
P00047,대통령령으로 정하는,위임,대통령령,,rule
P00048,사항은 대통령령으로,위임,대통령령,,rule
P00049,사항은 대통령령으로,위임,대통령령,,rule
P00050,대통령령으로 정하는,위임,대통령령,,rule
P00051,대통령령으로 정하고,위임,대통령령,,rule
P00052,대통령령으로 정하고,위임,대통령령,,rule
P00053,대통령령으로 정하고,위임,대통령령,,rule
P00054,대통령령으로 정하고,위임,대통령령,,rule
P00055,대통령령으로 정하고,위임,대통령령,,rule
P00056,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,,rule
P00057,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,,rule
P00058,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,,rule
P00059,"① 학교의 명칭은 국립학교는 대통령령으로 정하고, 공립학교는 해당 지방자치단체의 조례로 정하며, 사립학교는 해당 학교법인의 정관으로 정한다.",위임,대통령령|조례,,rule
P00060,대통령령으로 정하는,위임,대통령령,,rule
P00061,대통령령으로 정하는,위임,대통령령,,rule
P00062,대통령령과 학칙으로,판단불가,해당없음,,rule
P00063,대통령령과 학칙으로,판단불가,해당없음,,rule
P00064,대통령령과 학칙으로,판단불가,해당없음,,rule
P00065,대통령령과 학칙으로,판단불가,해당없음,,rule
P00066,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00067,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00068,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00069,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00070,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00071,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00072,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00073,"② 학교의 조직에 관한 기본적 사항은 국립학교는 대통령령과 학칙으로 정하고, 공립학교는 해당 지방자치단체의 조례와 학칙으로 정하며, 사립학교는 해당 학교법인의 정관과 학칙으로 정한다.",판단불가,해당없음,,rule
P00074,심의에 필요한 경우 대통령령으로,위임,대통령령,,rule
P00075,대통령령으로 정하는 사항에 대해서는 대학평의원회의,위임,대통령령,,rule
P00076,대통령령으로 정하는 바에 따라 해당 학교법인의,위임,대통령령,,rule
P00077,대통령령으로 정하는 기준에 따라 학칙,위임,대통령령,,rule
P00078,대통령령으로 정하는,위임,대통령령,,rule
P00079,대통령령으로 정하는,위임,대통령령,,rule
P00080,대통령령으로 정하는,위임,대통령령,,rule
P00081,대통령령으로 정한다,위임,대통령령,,rule
P00082,대통령령으로 정하는,위임,대통령령,,rule
P00083,대통령령으로 정한다,위임,대통령령,,rule
P00084,대통령령으로 정하는,위임,대통령령,,rule
P00085,대통령령으로 정하는,위임,대통령령,,rule
P00086,사항은 대통령령으로,위임,대통령령,,rule
P00087,필요한 사항은 대통령령으로,위임,대통령령,,rule
P00088,대통령령으로 정하는,위임,대통령령,,rule
P00089,대통령령으로 정하는,위임,대통령령,,rule
P00090,대통령령으로 정한다,위임,대통령령,,rule
P00091,대통령령으로 정하는,위임,대통령령,,rule
P00092,대통령령으로 정하는,위임,대통령령,,rule
P00093,대통령령으로 정하는,위임,대통령령,,rule
P00094,사항은 대통령령으로,위임,대통령령,,rule
P00095,사항은 대통령령으로,위임,대통령령,,rule
P00096,사항은 대통령령으로,위임,대통령령,,rule
P00097,사항은 대통령령으로,위임,대통령령,,rule
P00098,법률로 정한다,인용,해당없음,,rule
P00099,대통령령으로 정한다,위임,대통령령,,rule
P00100,대통령령으로 정하는,위임,대통령령,,rule
P00101,대통령령으로 정하는,위임,대통령령,,rule
P00102,대통령령으로 정하는,위임,대통령령,,rule
P00103,대통령령으로 정하는,위임,대통령령,,rule
P00104,대통령령으로 정하는,위임,대통령령,,rule
P00105,대통령령으로 정하는,위임,대통령령,,rule
P00106,대통령령으로 정하는,위임,대통령령,,rule
