id,조문문장,T3_L1,T3_L2,T3_확신도,T3_근거
G0001,대통령령으로 정하는 경미한 사항을,위임,대통령령,3,문장이 잘려 있으나 '대통령령으로 정하는 경미한 사항'이라는 부분 위임 어구가 명시되어 있다.
G0002,또는 대통령령으로,판단불가,미특정,4,문장이 조각으로 잘려 있어 위임 여부와 규율 대상을 판정할 수 없다.
G0003,"교육부장관이 정하는 기준에 적합한 산업체, 기관 또는 시설에서 전공학과 및 그에 관련되는 학과의 학문분야에",위임,미특정,3,"'교육부장관이 정하는 기준'은 법형식을 지정하지 않은 부분 위임이며, 문장은 잘렸으나 위임 성격은 확인된다."
G0004,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,위임,대통령령|조례,4,교육기관 설치의 구체적 사항을 대통령령 또는 조례에 맡긴 병기 위임이다.
G0005,3. 그 밖에 의무상환액의 납부에 필요한 사항으로서 교육부장관이 정하는 사항,위임,미특정,4,교육부장관에게 세부사항 규율권한을 넘기지만 법형식을 지정하지 않았다.
G0006,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,위임,조례,4,권한 위임의 구체적 사항을 조례로 정하도록 규율권한을 넘기는 부분 위임이다.
G0007,대통령령으로 정하는,판단불가,대통령령,3,문장이 '대통령령으로 정하는'에서 잘려 규율 대상과 종결 구조를 확인할 수 없다.
G0008,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",위임,조례,3,의견 수렴 방법을 공립학교의 경우 시·도 조례로 정하도록 규율권한을 넘기는 위임이다(국립학교의 학칙은 지정 법형식 목록 외).
G0009,5. 그 밖에 학교용지의 확보 등에 필요하거나 부담금을 적정하게 관리하기 위하여 필요한 사항으로 해당 시·도의 조례로 정하는 사항,위임,조례,5,'조례로 정하는 사항'으로 시·도 조례에 규율권한을 넘기는 부분 위임이다.
G0010,생활비 대출원리금의 계산방법은 교육부장관이 정하여 고시한다.,위임,고시,5,계산방법을 교육부장관의 고시로 정하도록 규율권한을 넘긴다.
G0011,"2. 도 및 특별자치도에 있는 고등학교: 매년 학생으로부터 받은 수업료 및 입학금 총액의 3퍼센트 이상으로 하되, 구체적인 기준은 해당 도 및 특별자치도의 교육규칙으로 정할 것",위임,교육규칙,5,구체적 기준을 도·특별자치도 교육규칙으로 정하도록 규율권한을 넘긴다.
G0012,사항은 대통령령으로,판단불가,대통령령,2,문장이 중간에서 잘려 종결 형태와 위임 대상 사항을 확인할 수 없으나 '대통령령' 표지만 남아 있다.
G0013,"① 제23조, 제24조 및 제25조의2에 따른 가산점의 부여 기준ㆍ요건 및 가산점 평정대상기간 등 가산점 부여에 필요한 사항은 해당 지방자치단체의 교육규칙으로 정한다.",위임,교육규칙,5,가산점 부여에 필요한 사항을 해당 지방자치단체의 교육규칙으로 정하도록 규율권한을 넘긴다.
G0014,① 시·도의회의 교육·학예에 관한 사무를 처리하기 위하여 조례로 정하는 바에 따라 시·도의회의 사무처에 지원조직과 사무직원을 둔다.,위임,조례,5,지원조직과 사무직원에 관한 사항을 조례로 정하도록 규율권한을 넘긴다.
G0015,사항은 교육부령으로,판단불가,부령,3,문장이 중간에서 잘려 위임 종결 여부를 확인할 수 없으나 문언상 교육부령이 표지되어 있다.
G0016,대통령령으로 정하는 사람,위임,대통령령,4,문장이 짧은 조각이지만 '대통령령으로 정하는 사람'은 대상 요건을 대통령령에 맡기는 부분 위임이다.
G0017,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,위임,조례,5,평생학습관 설치·운영에 필요한 사항을 지방자치단체 조례에 규율권한을 넘긴다.
G0018,④ 기금의 설치ㆍ운용에 관하여 필요한 사항은 조례로 정한다.,위임,조례,5,기금 설치·운용에 필요한 사항의 규율권한을 조례에 넘기는 전형적 위임 문언이다.
G0019,교육부령으로 정한다,위임,부령,4,'교육부령으로 정한다'는 종결형 위임으로 부령에 규율권한을 넘긴다.
G0020,교육부령으로 정한다,위임,부령,5,'교육부령으로 정한다'는 종결형으로 부령에 규율권한을 넘기는 위임이다.
G0021,"② 보육교직원의 보육 활동 보호에 관한 다음 각 호의 사항을 심의하기 위하여 시·도에 시·도보육활동보호위원회를 둔다. 다만, 시·도보육활동보호위원회는 그 기능을 담당하기에 적합한 다른 위원회가 있고 그 위원회의 위원이 제3항에 따른 자격을 갖춘 경우에는 시·도의 조례로 정하는 바에 따라 그 위원회가 시·도보육활동보호위원회의 기능을 대신할 수 있다.",위임,조례,4,다른 위원회가 기능을 대신하는 방식을 시·도 조례로 정하도록 규율권한을 넘긴다.
G0022,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,보호구역 대상 시설·장소의 구체적 결정을 조례에 넘기는 부분 위임이다.
G0023,법률로 정한다,판단불가,해당없음,3,"문장이 '법률로 정한다'만 남아 잘려 있고, 지정된 형식도 하위 규범이 아닌 법률이어서 위임 여부를 판정할 수 없다."
G0024,"교육감은 법 제20조에 따라 법 제19조에 따른 출입·검사·수거 등, 법 제21조에 따른 행정처분 등의 요청 및 법 제25조에 따른 과태료 부과·징수권한을 조례로 정하는 바에 따라 교육장에게 위임할 수 있다.",위임,조례,4,권한 위임의 구체적 사항을 조례로 정하도록 규율권한을 넘긴다.
G0025,⑥ 제1항부터 제5항까지에서 규정한 사항 외에 조정위원회의 구성·운영 등에 관한 구체적인 사항은 시·도 교육규칙으로 정한다.,위임,교육규칙,5,조정위원회 구성·운영에 관한 구체적 사항을 시·도 교육규칙에 넘기는 위임 규정이다.
G0026,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,미특정|조례,4,"국립은 장관이 정하도록(형식 미특정), 공립은 조례로 정하도록 규율권한을 넘기므로 두 형식을 병기한다."
G0027,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,위임,조례,5,필요한 사항을 지방자치단체 조례로 정하도록 규율권한을 넘기는 위임 규정이다.
G0028,② 제1항에 따른 특성화고등학교 지정·운영위원회의 구성 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,위임,교육규칙,5,위원회 구성·운영에 관한 사항을 시·도 교육규칙에 정하도록 규율권한을 넘긴다.
G0029,② 특별시장·광역시장·특별자치시장·도지사·특별자치도지사 및 시장·군수·구청장은 조례로 정하는 바에 따라 제1항 각 호의 경비의 전부 또는 일부를 방과후 과정을 운영하거나 제12조에 따른 수업일수를 초과하여 운영하는 유치원에 지원할 수 있다.,위임,조례,4,'조례로 정하는 바에 따라' 지원 경비 사항의 규율권한을 조례에 넘기는 위임이다.
G0030,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",위임,미특정|조례,4,"국립은 장관이 정하도록(형식 미특정), 공립은 조례로 정하도록 규율권한을 넘긴다."
G0031,대통령령으로 정한다,위임,대통령령,4,종결형 '대통령령으로 정한다'로 대통령령에 규율권한을 넘기는 위임이다.
G0032,사항은 대통령령으로,판단불가,대통령령,3,문장이 중간에서 잘려 주어와 서술어가 불완전하여 위임 여부를 확정할 수 없으나 표지어구는 대통령령이다.
G0033,③ 제2조제2호가목에 따른 평생교육기관의 설치자는 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정하는 바에 따라 평생교육시설의 운영과 관련하여 그 시설의 이용자에게 발생한 생명ㆍ신체상의 손해를 배상할 것을 내용으로 하는 보험가입 또는 공제사업에의 가입 등 필요한 안전조치를 하여야 한다,위임,조례,5,안전조치의 구체적 내용을 시·도 조례로 정하도록 규율권한을 넘긴 부분 위임이다.
